"Número de artículo","Descripción del artículo","Grupo de artículos","Unidad de medida de inventario"
"INF","BARRA ELECTRICA 3 FT","ACTIVOS DE SL",""
"INF","BARRA ELECTRICA 5 FT","ACTIVOS DE SL",""
"228000000","COLLAR STOP F","ACTIVOS DE SL",""
"229000000","TUBING STOP G","ACTIVOS DE SL",""
"230000000","COLLAR STOP (NO UTILIZAR)","ACTIVOS DE SL",""
"231000000","TUBING STOP F","ACTIVOS DE SL",""
"232000000","TUBING STOP A","ACTIVOS DE SL",""
"235000000","STUFFING BOX SRO","ACTIVOS DE SL",""
"235WL0000","STUFFING BOX WL/SL","ACTIVOS DE SL",""
"245000000","N-TEST TOOL","ACTIVOS DE SL",""
"252000000","TUBING END LOCATOR","ACTIVOS DE SL",""
"256000000","WIRELINE CLAMPS","ACTIVOS DE SL",""
"257000000","WIRELINE CLAMPS 0,108""","ACTIVOS DE SL",""
"258000000","WIRELINE RETRIEVER","ACTIVOS DE SL",""
"259000000","WIREFINDER","ACTIVOS DE SL",""
"265000000","BLANKING PLUG W","ACTIVOS DE SL",""
"266000000","BLANKING PLUG Z","ACTIVOS DE SL",""
"267000000","PRONG RZC","ACTIVOS DE SL",""
"269000000","UTILIZAR","ACTIVOS DE ADQ INFO",""
"270000000","RUNNING TOOL GA2","ACTIVOS DE SL",""
"271000000","RUNNING TOOL JK","ACTIVOS DE SL",""
"272000000","COLLET","ACTIVOS DE SL",""
"273000000","BARRA ELECTRICA PLOMO 5FT","ACTIVOS DE SL",""
"274000000","RUNNING TOOL JC3","ACTIVOS DE SL",""
"275000000","RUNNING TOOL RK","ACTIVOS DE SL",""
"276000000","WIRE LINE ARPON DE PESCA 60"" LONG X 1 3/4"" OD CONN5/8"" SUCKER ROD Y FISHING NECK 11/8"" OD","ACTIVOS DE SL",""
"277000000","RUNNING TOOL RK1","ACTIVOS DE SL",""
"278000000","LANDING NIPPLE X","ACTIVOS DE SL",""
"279000000","LANDING NIPPLE XN","ACTIVOS DE SL",""
"2800000","CROSSOVER","ACTIVOS DE SL",""
"28000000","BLANKING PLUG","ACTIVOS DE SL",""
"281000000","BOP HIDRÁULICA","ACTIVOS DE SL",""
"281ME0000","BOP MECANICA","ACTIVOS DE SL",""
"282000000","BOTELLA (NO UTILIZAR)","ACTIVOS DE SL",""
"282000000.","BOTELLA.","ACTIVOS DE SL",""
"283000000","BULL DOG SPEAR (PEZCA OM-1 2 7/8"")","ACTIVOS DE SL",""
"284000000","TUBING BROACH 2 3/8""- 2 7/8""- 3 1/2""","ACTIVOS DE SL",""
"285000000","TUBING PUNCHER","ACTIVOS DE SL",""
"286000000","KICK OVER MERLA","ACTIVOS DE SL",""
"2870000","ODOMETRO","ACTIVOS DE SL",""
"287000000","PINEAPPLE BROACH PARA 2 3/8""- 2 7/8""- 3 1/2""","ACTIVOS DE SL",""
"288000000","DIAMOND BROACH PARA 2 3/8""- 2 7/8""- 3 1/2""","ACTIVOS DE SL",""
"293000000","HANGER","ACTIVOS DE SL",""
"299000000","SWIVEL JOINT","ACTIVOS DE SL",""
"302000000","HOMBRO STANDING VALVE F","ACTIVOS DE SL",""
"303000000","HOMBRO STANDING VALVE R","ACTIVOS DE SL",""
"304000000","TWINGO","ACTIVOS DE SL",""
"304000000.","TWINGO.","ACTIVOS DE SL",""
"306000000","CABEZA ELECTRICA","ACTIVOS DE SL",""
"307000000","RUNNING RA","ACTIVOS DE SL",""
"30ML1","EJECTOR","ACTIVOS DE ADQ INFO",""
"30ML2","EJECTOR 1 3/8"" 30 CC","ACTIVOS DE ADQ INFO",""
"30ML3","EJECTOR 1 3/8""","ACTIVOS DE ADQ INFO",""
"30ML4","EJECTOR 1 3/8""","ACTIVOS DE ADQ INFO",""
"30ML5","EJECTOR 1 3/8""  30CC","ACTIVOS DE ADQ INFO",""
"3F - 010001","SEPARADOR 7","ACTIVOS WELL TESTING",""
"3F - 010002","SEPARADOR 8","INSUMOS DE WT",""
"3F - 040001","FRAC TANK 29","INSUMOS DE WT",""
"3F - 040002","FRAC TANK 19","INSUMOS DE WT",""
"3F - 040003","FRAC TANK 04","INSUMOS DE WT",""
"3F - 040005","FRAC TANK 25","INSUMOS DE WT",""
"3F - 040006","FRAC TANK 17","INSUMOS DE WT",""
"3F - 040007","FRAC TANK 5","INSUMOS DE WT",""
"3F - 040008","FRAC TANK 6","INSUMOS DE WT",""
"3F - 040009","FRAC TANK 27","INSUMOS DE WT",""
"3F - 040012","FRAC TANK 21","INSUMOS DE WT",""
"3F - 040013","FRAC TANK 22","INSUMOS DE WT",""
"41820","COIL TUBING CUTTER 0.718 HMX","INSUMOS DE ADQ",""
"42000000","WIRELINE GRAB","ACTIVOS DE SL",""
"43000000","WIRELINE GRAB","ACTIVOS DE SL",""
"45000000","GO DEVIL","ACTIVOS DE SL",""
"47000000","HAY PULLEY  (POLEA DESVIANTE)","EQUI Y HTAS 12M",""
"5000000","ANTI BLOW-UP TOOL","ACTIVOS DE SL",""
"53000000","IMPRESSION BLOCK (NO UTILIZAR)","ACTIVOS DE SL",""
"53000000.","IMPRESSION BLOCK.","ACTIVOS DE SL",""
"54000000","MARTILLO MECANICO","ACTIVOS DE SL",""
"55000000","MARTILLO TUBULAR","ACTIVOS DE SL",""
"56000000","MARTILLO HIDRÁULICO","ACTIVOS DE SL",""
"6000000","DUMP BAILER","ACTIVOS DE SL",""
"60ML1","EJECTOR 1 3/8""  60CC","ACTIVOS DE ADQ INFO",""
"61000000","COILED TUBING TUBE DRUMP","ACTIVOS DE SL",""
"62000000","KICKOVER OM-5","ACTIVOS DE SL",""
"63000000","KICKOVER OK-1","ACTIVOS DE SL",""
"64000000","KICKOVER OK-5","ACTIVOS DE SL",""
"65000000","KICKOVER OM-1","ACTIVOS DE SL",""
"67000000","KICKOVER L","ACTIVOS DE SL",""
"69000000","KICKOVER R","ACTIVOS DE SL",""
"7000000","SAND BAILER","ACTIVOS DE SL",""
"71000000","KNUCLE JOINT","ACTIVOS DE SL",""
"72000000","DUMP BAILER CACHER","ACTIVOS DE SL",""
"732040-01","(NO USAR)  ALQUILER DE VEHICULO DE TRANSPORTE DE CARGA","ALQUILER VEHICULOS",""
"8100-137-0221A152270","DETECTOR DE RAYOS GAMMA (GR)","ACTIVOS DE ADQ INFO",""
"8130-137-S11-13440","CCL","ACTIVOS DE ADQ INFO",""
"9000000","SAND BAILER  CACHER","EQUI Y HTAS 6M",""
"90000000","LOCK MANDREL X","ACTIVOS DE SL",""
"91000000","LOCK MANDREL XN","ACTIVOS DE SL",""
"92000000","LOCKING MANDREL B","ACTIVOS DE SL",""
"93000000","LOCK MANDREL D","ACTIVOS DE SL",""
"94000001","No usar","EQUI Y HTAS 48M",""
"94000002","HIDROGENERADOR GETEC DE 12 KW","ACTIVOS DE ADQ INFO",""
"AC//MTTO-0807","TEE H-H AIRE DE 1/4""","INSUMOS MTTO",""
"AC/ACTIV-0001","HS-PE01 ELECTRIC MARKING MACHINE WITH ELECTROMAGNETIC BASEMENT MARKING SPEED:30-40MM/S","ACTIVO",""
"AC/ACTIV-0002","PORTABLE AND HANDLEABLE LASER ENGRAVER (MARCADORA )","ACTIVO",""
"AC/ADQ-2635","105428 - SOCKET HEAD CAP SCREW 10-32 X 0.188""","INSUMOS DE ADQ",""
"ACC/ADFQ-1487","00884-ASSY SUB LOWER 1 11/16 PGR SX PRESS ISO","MTTO Y REPA. MAQ OP",""
"ACC/ADQ-0001","O-RING VITON 90 TYPE 145","MTTO Y REPA. MAQ OP",""
"ACC/ADQ-0002","O-RING VITON 90 TYPE 213","INSUMOS DE ADQ",""
"ACC/ADQ-0003","O-RING VITON 90 TYPE 142","MTTO Y REPA. MAQ OP",""
"ACC/ADQ-0004","O-RING VITON 90 TYPE 140","MTTO Y REPA. MAQ OP",""
"ACC/ADQ-000455","SAZ. BI 469-21-2875   2-7/8"" – EUE, N80 – WIRE LINE ENTRY GUIDE","INSUMOS DE CÑO",""
"ACC/ADQ-0005","O-RING VITON 90 TYPE 122","MTTO Y REPA. MAQ OP",""
"ACC/ADQ-0006","HOSING BEARING LOWER","INSUMOS DE ADQ",""
"ACC/ADQ-0007","RING RETAINING","INSUMOS DE ADQ",""
"ACC/ADQ-0008","SCREW PLUG","INSUMOS DE ADQ",""
"ACC/ADQ-0009","ASSY UPPER CONNECTOR SX","INSUMOS DE ADQ",""
"ACC/ADQ-0010","ASSY LOWER CONECTOR & ROD SX","INSUMOS DE ADQ",""
"ACC/ADQ-0011","RETAINER INSULATOR","INSUMOS DE ADQ",""
"ACC/ADQ-0012","SPRING. LOCKING 1 11/16 INCH TOOLS","INSUMOS DE ADQ",""
"ACC/ADQ-0013","SPRING COMPRESSION MOD","INSUMOS DE ADQ",""
"ACC/ADQ-0014","BEARING RADIAL. SKF 6003","INSUMOS DE ADQ",""
"ACC/ADQ-0015","BEARING THRUST. SKF 51203","INSUMOS DE ADQ",""
"ACC/ADQ-0016","BEARING BALL  3/16 HARD","INSUMOS DE ADQ",""
"ACC/ADQ-0017","SCREW. GRUP SKT HD. M6 X 8MM LONG . ST /STEEL","INSUMOS DE ADQ",""
"ACC/ADQ-0018","CIRCLIP. INTERNAL, 5/8, ST/STEEL","INSUMOS DE ADQ",""
"ACC/ADQ-0019","RING RETAINING 1 3/8 SS","INSUMOS DE ADQ",""
"ACC/ADQ-0020","PIN SPIROL 2 5MM *  06MM LONG  ST/STEEL","INSUMOS DE ADQ",""
"ACC/ADQ-0021","PIN SPIROL 1MM X 8MM LG, SS","INSUMOS DE ADQ",""
"ACC/ADQ-0022","CENTRALIZER CONNECTOR","INSUMOS DE ADQ",""
"ACC/ADQ-0023","ASSY CONNECTOR  JACKET","INSUMOS DE ADQ",""
"ACC/ADQ-0024","O RING VITON  75 TYPE 008","MTTO Y REPA. MAQ OP",""
"ACC/ADQ-0025","O-RING VITON  90 TYPE 013","INSUMOS DE ADQ",""
"ACC/ADQ-0026","O RING VITON  75 TYPE 124","INSUMOS DE ADQ",""
"ACC/ADQ-0027","O RING VITON  75 TYPE  126","INSUMOS DE ADQ",""
"ACC/ADQ-0028","O RING VITON  75 TYPE 209","INSUMOS DE ADQ",""
"ACC/ADQ-0029","O RING VITON  75 TYPE 211","INSUMOS DE ADQ",""
"ACC/ADQ-0030","O RING VITON  75 TYPE 009","MTTO Y REPA. MAQ OP",""
"ACC/ADQ-0031","THREAD PROTECTOR , MALE STANDARD (UPPER END) WITH O' RING","INSUMOS DE ADQ",""
"ACC/ADQ-0032","THREAD PROTECTOR, FEMALE, STANDARD (LOWER END)","INSUMOS DE ADQ",""
"ACC/ADQ-0033","PLIERS LONG NOSE","INSUMOS DE ADQ",""
"ACC/ADQ-0034","SPANNER  C 50MM 35MM","INSUMOS DE ADQ",""
"ACC/ADQ-0035","PIN C SPANER  35- 50MM","INSUMOS DE ADQ",""
"ACC/ADQ-0036","KEY  HEX  METRIC (LOOSE 9 PC)","INSUMOS DE ADQ",""
"ACC/ADQ-0037","MEDIUM POZI SCREW DRIVER","INSUMOS DE ADQ",""
"ACC/ADQ-0038","SCREWDRIVER PARALLEL TIP (30*75)","INSUMOS DE ADQ",""
"ACC/ADQ-0039","SCREWDRIVER PARALLEL TIP (55*200)","INSUMOS DE ADQ",""
"ACC/ADQ-0040","SPANNER OPEN-ENDED 42MM*38MM","INSUMOS DE ADQ",""
"ACC/ADQ-0041","SPANNER OPEN-ENDED 18MM*19MM","INSUMOS DE ADQ",""
"ACC/ADQ-0042","FILM FORMING LUBRICANT 101 EU CANECA X 35 LB","INSUMOS DE ADQ",""
"ACC/ADQ-0043","ASSEMBLY TOOL - SENSOR ORING MTT","INSUMOS DE ADQ",""
"ACC/ADQ-0044","TOOL AXLE NUT SCREWDRIVER MDT","INSUMOS DE ADQ",""
"ACC/ADQ-0045","CIRCLIP PLIERS (UNIVERSAL)","INSUMOS DE ADQ",""
"ACC/ADQ-0046","SCREW, CSK HD (SLOTTED), M3 * 06MM LG, ST/STEEL","INSUMOS DE ADQ",""
"ACC/ADQ-0047","MODIFIED EXTENSION SPRING","INSUMOS DE ADQ",""
"ACC/ADQ-0048","ASSY MTT 7'' SPRINGBOW & SENSOR CARRIAGE V2","INSUMOS DE ADQ",""
"ACC/ADQ-0049","MAIN SHAFT MTT","INSUMOS DE ADQ",""
"ACC/ADQ-0050","ASSY - CO-AX ELECTRICAL BYPASS - MTT","INSUMOS DE ADQ",""
"ACC/ADQ-0051","ASSY - BYPASS - SENSOR & WIRES  - MTT","INSUMOS DE ADQ",""
"ACC/ADQ-0052","ASSY , PCB , MTT TOOLBUS INTERFACE","INSUMOS DE ADQ",""
"ACC/ADQ-0053","ASSY, SIGNAL CONDITIONING, MTT","INSUMOS DE ADQ",""
"ACC/ADQ-0054","PCB, MTT PSU BOARD 1","INSUMOS DE ADQ",""
"ACC/ADQ-0055","ASSY, MTT  + 5V  PSU BOARD 2","INSUMOS DE ADQ",""
"ACC/ADQ-0056","PCB, DRIVE  COIL BOARD","INSUMOS DE ADQ",""
"ACC/ADQ-0057","ASSY, PCB, DRIVE COIL ELECTRONICS","INSUMOS DE ADQ",""
"ACC/ADQ-0058","PCB, DRIVE COIL BOARD","INSUMOS DE ADQ",""
"ACC/ADQ-0059","ASSY; INPUT & MUX; MTT","INSUMOS DE ADQ",""
"ACC/ADQ-0060","BEARING BALL 3/16 HARD","INSUMOS DE ADQ",""
"ACC/ADQ-0061","CANTED COIL SPRING 100LB 7MM BORE, 4.6MM ID BECU","INSUMOS DE ADQ",""
"ACC/ADQ-0062","SCREW GRUB SKT HD M6*0.5MM LG SS - REFER 01082","INSUMOS DE ADQ",""
"ACC/ADQ-0063","KIT, SPARES, O- RING, MTT001","INSUMOS DE ADQ",""
"ACC/ADQ-0064","O RING VITON 75 TYPE 010","MTTO Y REPA. MAQ OP",""
"ACC/ADQ-0065","O-RING VITON 90 TYPE 211","INSUMOS DE ADQ",""
"ACC/ADQ-0066","O RING VITON 90 TYPE 012","MTTO Y REPA. MAQ OP",""
"ACC/ADQ-0067","O RING VITON 90 TYPE 026","MTTO Y REPA. MAQ OP",""
"ACC/ADQ-0068","O RING VITON 90 TYPE 028","INSUMOS DE ADQ",""
"ACC/ADQ-0069","O RING VITON 90 TYPE 125","MTTO Y REPA. MAQ OP",""
"ACC/ADQ-0070","O RING VITON 90 TYPE 006","MTTO Y REPA. MAQ OP",""
"ACC/ADQ-0071","ASSY ELECTRONICS MTT","INSUMOS DE ADQ",""
"ACC/ADQ-0072","ASSY DRIVE COIL & ELECTRONICS MTT","INSUMOS DE ADQ",""
"ACC/ADQ-0073","ASSY SENSOR SECTION MTT 1 11/16'' * 7''","INSUMOS DE ADQ",""
"ACC/ADQ-0074","MTT001 PRESSURE HOUSING, UPPER ELECTRONICS","INSUMOS DE ADQ",""
"ACC/ADQ-0075","HOUSING PRESSURE LOWER ELECTRONICS","INSUMOS DE ADQ",""
"ACC/ADQ-0076","THREAD PROTECTOR, FEMALE, STANDARD (LOWER END)","INSUMOS DE ADQ",""
"ACC/ADQ-0077","WASHER - WAVY FOR 1 INCH BORE & 0.78 SHAFT CLEARENCE","INSUMOS DE ADQ",""
"ACC/ADQ-0078","BULKHEAD, ELECTRONICS, INTERMEDIATE,STANDARD","INSUMOS DE ADQ",""
"ACC/ADQ-0079","BULKHEAD LOWER - MAIN ELECTRONIC MTT","INSUMOS DE ADQ",""
"ACC/ADQ-0080","ELECTRONIC CHASSIS","INSUMOS DE ADQ",""
"ACC/ADQ-0081","ASSY, UPPER ELECTRONICS BULKHEAD, SRO , SX (ISOLATION)","INSUMOS DE ADQ",""
"ACC/ADQ-0082","LEMO CONNECTOR 4B-30 WAY FEMALE PEEK INSULATOR SOLDER BUCKET","INSUMOS DE ADQ",""
"ACC/ADQ-0083","SCREW, PAN HD SLOTTED, M3 * 6MM LONG, ST/STEEL","INSUMOS DE ADQ",""
"ACC/ADQ-0084","WASHER, PLAIN,M3, ST\STEEL","INSUMOS DE ADQ",""
"ACC/ADQ-0085","ASSY, RELATIVE BEARING DEVICE","INSUMOS DE ADQ",""
"ACC/ADQ-0086","BULKHEAD, TRANSISTOR","INSUMOS DE ADQ",""
"ACC/ADQ-0087","ASSY, PCB, MTT TOOLBUS INTERFACE","INSUMOS DE ADQ",""
"ACC/ADQ-0088","ASSY, SIGNAL CONDITIONING, MTT","INSUMOS DE ADQ",""
"ACC/ADQ-0089","PCB, MTT PSU BOARD 1","INSUMOS DE ADQ",""
"ACC/ADQ-0090","ASSY; INPUT & MUX; MTT","INSUMOS DE ADQ",""
"ACC/ADQ-0091","ASSY,UTT RELATIVE BEARING DEVICE","INSUMOS DE ADQ",""
"ACC/ADQ-0092","ASSY, PCB,218X MTT PROCCESOR","INSUMOS DE ADQ",""
"ACC/ADQ-0093","RETAINER - FEMALE LEMO CONNECTOR MTT","INSUMOS DE ADQ",""
"ACC/ADQ-0094","PIN ANTI-ROTATION BULKHEAD LOWER - MAIN ELECTRONIC MTT","INSUMOS DE ADQ",""
"ACC/ADQ-0095","WASHER SPRING M3 SS","INSUMOS DE ADQ",""
"ACC/ADQ-0096","CABLE PARA ENCODER","INSUMOS DE ADQ",""
"ACC/ADQ-0097","CABLE ENCAUCHETADO 2 x18","INSUMOS DE ADQ",""
"ACC/ADQ-0098","CARRETO PARA CABLE ENCAUCHETADO","INSUMOS DE ADQ",""
"ACC/ADQ-0099","C DOUBLE CELL, 8-PIN, 150C","INSUMOS DE ADQ",""
"ACC/ADQ-0100","CABLE PARA SENSOR DE PRESION","INSUMOS DE ADQ",""
"ACC/ADQ-0101","CLAMP TIPO C","INSUMOS DE ADQ",""
"ACC/ADQ-0102","MANGUERA HIDRAULICA ALTA PRESION CON CONECTORES 1/4 NPT","INSUMOS DE  MTTO MQ",""
"ACC/ADQ-0103","CABLE ACERADO PARA WINCHE 3/8""  CON PLACA DE CERTIFICADO","INSUMOS DE  MTTO MQ",""
"ACC/ADQ-0104","PERRO TIPO U PARA CABLE3/8""","INSUMOS DE ADQ",""
"ACC/ADQ-0105","KIT, SPARES, RECOMMENDED (25 RUN), CAT004 (SPRINGBOW TYPE)","ACTIVOS EN LEASING",""
"ACC/ADQ-0106","ASSY, ILS, 1-11/16""(2-1/8""SHROUD)-SPINNER & SENSOR SECT","ACTIVOS EN LEASING",""
"ACC/ADQ-0107","PAPEL DE REGISTRO 8 1/2"" X 6 1/4""","INSUMOS DE ADQ",""
"ACC/ADQ-0108","COMPANION KEY PARA WARRIOR","INSUMOS DE ADQ",""
"ACC/ADQ-0109","KIT MAJOR REPAIR ALEMITE 394233-2","INSUMOS DE ADQ",""
"ACC/ADQ-0110","BATERIA DE LITIO REF 25-48  150 MR (3.6 V)","INSUMOS DE ADQ",""
"ACC/ADQ-0111","BATERIA DE LITIO REF 3B5100 (3.9 V)","INSUMOS DE ADQ",""
"ACC/ADQ-0112","PIS 5K ADAPTER 2"" NPT","INSUMOS DE ADQ",""
"ACC/ADQ-0113","VALVE 2"" NPT 6K H2s SERVICE","INSUMOS DE ADQ",""
"ACC/ADQ-0114","CH ASSY-CONE II - 7/32 LN .030 STR 3916-022-035 (CABEZA)","INSUMOS DE ADQ",""
"ACC/ADQ-0115","CH ASSY-CONE II - 5/16 LN .043 STR 3916-031-043 (CABEZA)","INSUMOS DE ADQ",""
"ACC/ADQ-0116","COMPRESSION WASHER (ARANDELA PIÑA) (3916-0CW-218 TITAN)","INSUMOS DE ADQ",""
"ACC/ADQ-0117","ROPE SOCKET CONE; 7/32 LN  .030 STR (PIÑA)","INSUMOS DE ADQ",""
"ACC/ADQ-0118","ROPE SOCKET CONE; 5/16 LN .043 STR (PIÑA) (12 ESTRANES)","INSUMOS DE ADQ",""
"ACC/ADQ-0119","CONTACT KIT FOR 5`BAR   (3924-002-005 TITAN )","INSUMOS DE ADQ",""
"ACC/ADQ-0120","CONTACT KIT FOR 7`BAR  (3924-002-007  TITAN )","INSUMOS DE ADQ",""
"ACC/ADQ-0121","3 1/8"" SPINNING COLLAR; QUICK-CHG","INSUMOS DE ADQ",""
"ACC/ADQ-0122","0256-000-013  DETONATOR BLOCK","INSUMOS DE ADQ",""
"ACC/ADQ-0123","PIG TAIL ASSEMBLY","INSUMOS DE ADQ",""
"ACC/ADQ-0124","CABLEHEAD BOOT 1/8"" HOLE","INSUMOS DE ADQ",""
"ACC/ADQ-0125","CONTACT KIT PARA CABEZA ELECTRICA (3903-000-002 TITAN)","INSUMOS DE ADQ",""
"ACC/ADQ-0126","HYDRAULIC HOSE","ACTIVOS DE ADQ INFO",""
"ACC/ADQ-0127","ACEITE ACOPLADOR ULTRASONICO","INSUMOS DE ADQ",""
"ACC/ADQ-0128","GRASA LUBRIPLATE  No 930-A x 6 LBS","INSUMOS DE ADQ",""
"ACC/ADQ-0129","ACEITE DE SILICONA MOLYSIL x GALON","INSUMOS DE ADQ",""
"ACC/ADQ-0130","PLASTICO TERMOENCOGIBLE","INSUMOS DE ADQ",""
"ACC/ADQ-0131","NCAP 5K 3"" TYPE B C/W 1/2"" NPT","INSUMOS DE ADQ",""
"ACC/ADQ-0132","PLUG 5K 3"" TYPE B C/W 1/2"" NPT","INSUMOS DE ADQ",""
"ACC/ADQ-0133","BEARING ULZ 511X","INSUMOS DE ADQ",""
"ACC/ADQ-0134","BEARING ULZ 409X","INSUMOS DE ADQ",""
"ACC/ADQ-0135","BEARING UL409X","INSUMOS DE ADQ",""
